rev_id	original	corrected	errorCode	idx	teifile	Main_category	Subcategory
25-84	þessa	þennan	agreement-concord	NA	texti008-2006.xml	grammar	agreement
25-85	kvenkyn	kvenkyns	missing-letter	NA	texti008-2006.xml	orthography	typo
25-86	NA	,	missing-comma	NA	texti008-2006.xml	orthography	punctuation
25-87	og hún	. Hún	conjunction4period	NA	texti008-2006.xml	orthography	punctuation
25-88	við	NA	extra-sub	NA	texti008-2006.xml	grammar	syntax
25-89	hún hét	. Hún heitir	missing-period	89-1	texti008-2006.xml	orthography	punctuation
25-89	hún hét	. Hún heitir	past4pres	89-2	texti008-2006.xml	grammar	tense
25-90	NA	,	missing-comma	NA	texti008-2006.xml	orthography	punctuation
25-91	elskaði	elska	past4pres	NA	texti008-2006.xml	grammar	tense
25-92	við	. Við	missing-period	NA	texti008-2006.xml	orthography	punctuation
25-93	i	í	missing-accent	NA	texti008-2006.xml	orthography	typo
25-94	NA	,	missing-comma	NA	texti008-2006.xml	orthography	punctuation
25-95	lifið	líf	missing-accent	95-1	texti008-2006.xml	orthography	typo
25-95	lifið	líf	def4ind	95-1	texti008-2006.xml	grammar	definitiveness
25-96	og BLESS ég	. Bless . Ég	conjunction4period	96-1	texti008-2006.xml	orthography	punctuation
25-96	og BLESS ég	. Bless . Ég	caps4low	96-2	texti008-2006.xml	orthography	capitalization
25-96	og BLESS ég	. Bless . Ég	missing-period	96-3	texti008-2006.xml	orthography	punctuation
25-97	NA	og	missing-conjunction	NA	texti008-2006.xml	orthography	punctuation
25-99	NA	,	missing-comma	NA	texti008-2006.xml	orthography	punctuation
26-1	bachelor gráðu	BS-gráðu	wording	1-1	texti101-2006.xml	style	wording
26-1	bachelor gráðu	BS-gráðu	missing-hyphen	1-2	texti101-2006.xml	orthography	spacing
26-2	í	á	wrong-prep	NA	texti101-2006.xml	grammar	prep
26-3	stór	stórri	adjective-inflection	3-1	texti101-2006.xml	grammar	inflection
26-3	stór	stórri	case-prep	3-1	texti101-2006.xml	grammar	case
26-4	single	einhleyp	fw4ice	NA	texti101-2006.xml	style	style
26-5	NA	, kyn	missing-comma	5-1	texti101-2006.xml	orthography	punctuation
26-5	NA	, kyn	wording	5-2	texti101-2006.xml	style	wording
26-6	um kyn	NA	dep	5-1	texti101-2006.xml	other	miscellaneous
26-7	fjölda	fjöldi rekkjunauta	dep	5-1	texti101-2006.xml	other	miscellaneous
26-7	fjölda	fjöldi rekkjunauta	missing-word	NA	texti101-2006.xml	vocabulary	omission
26-8	námi fyrir master	meistaranámi	wording	8-1	texti101-2006.xml	style	wording
26-8	námi fyrir master	meistaranámi	fw4ice	8-1	texti101-2006.xml	style	style
26-9	kannski geri	mögulega byrja	wording	9-1	texti101-2006.xml	style	wording
26-10	það	NA	dep	9-1	texti101-2006.xml	other	miscellaneous
26-11	NA	í því	dep	9-1	texti101-2006.xml	other	miscellaneous
26-11b	að vera	NA	extra-words	NA	texti101-2006.xml	vocabulary	insertion
26-12	og get	minni þannig að ég geti	missing-word	12-1	texti101-2006.xml	vocabulary	omission
26-12	og get	minni þannig að ég geti	conjunction	12-2	texti101-2006.xml	grammar	conjunction
26-13	gjeggað	geggað	extra-letter	13-1	texti101-2006.xml	orthography	typo
26-13	gjeggað	geggað	pronun-writing	13-1	texti101-2006.xml	orthography	spelling
26-13	gjeggað	geggað	nonword	13-1	texti101-2006.xml	orthography	nonword
26-14	verð svo successfull	njóta mikillar velgengni	wording	14-1	texti101-2006.xml	style	wording
26-14	verð svo successfull	njóta mikillar velgengni	fw4ice	14-1	texti101-2006.xml	style	style
26-15	ílsenksa	íslenska	swapped-letters	15-1	texti101-2006.xml	orthography	typo
26-15	ílsenksa	íslenska	swapped-letters	15-1	texti101-2006.xml	orthography	typo
26-15	ílsenksa	íslenska	nonword	15-1	texti101-2006.xml	orthography	nonword
26-16	senntu	sendu	nn4n	16-1	texti101-2006.xml	orthography	spelling
26-16	senntu	sendu	letter-rep	16-1	texti101-2006.xml	orthography	typo
26-17	email	tölvupóst	fw4ice	NA	texti101-2006.xml	style	style
26-18	. .	NA	extra-period	18-1	texti101-2006.xml	orthography	punctuation
26-18	. .	NA	extra-period	18-1	texti101-2006.xml	orthography	punctuation
26-19	djok	djók	missing-accent	19-1	texti101-2006.xml	orthography	typo
26-19	djok	djók	nonword	19-1	texti101-2006.xml	orthography	nonword
26-20	NA	,	missing-comma	NA	texti101-2006.xml	orthography	punctuation
26-21	ég	. Ég	missing-period	NA	texti101-2006.xml	orthography	punctuation
26-22	gjeggað	geggað	extra-letter	22-1	texti101-2006.xml	orthography	typo
26-22	gjeggað	geggað	pronun-writing	22-1	texti101-2006.xml	orthography	spelling
26-22	gjeggað	geggað	nonword	22-1	texti101-2006.xml	orthography	nonword
26-23	NA	,	missing-comma	NA	texti101-2006.xml	orthography	punctuation
26-24	En ja eg	Ég	extra-conjunction	24-1	texti101-2006.xml	orthography	punctuation
26-24	En ja eg	Ég	period-plus-conjunction	24-1	texti101-2006.xml	orthography	punctuation
26-24	En ja eg	Ég	extra-word	24-2	texti101-2006.xml	vocabulary	insertion
26-24	En ja eg	Ég	missing-accent	24-3	texti101-2006.xml	orthography	typo
26-25	vera	njóta	dep	25-1	texti101-2006.xml	other	miscellaneous
26-26	successful	mikillar velgengni	fw4ice	NA	texti101-2006.xml	style	style
26-27	Vegar	vegar	upper4lower-common	NA	texti101-2006.xml	orthography	capitalization
26-28	væri	NA	extra-word	NA	texti101-2006.xml	vocabulary	insertion
27-2	það	. Það	missing-period	NA	texti100-2006.xml	orthography	punctuation
27-3	a	að	missing-letter	NA	texti100-2006.xml	orthography	typo
27-4	fattaði það	áttaði sig	wording	4-1	texti100-2006.xml	style	wording
27-5	NA	á því	dep	4-1	texti100-2006.xml	other	miscellaneous
27-6	ekki	? Ekki	missing-qm	NA	texti100-2006.xml	orthography	punctuation
27-7	NA	því	missing-conjunction	NA	texti100-2006.xml	orthography	punctuation
27-8	best	besti	agreement-concord	NA	texti100-2006.xml	grammar	agreement
27-9	kláraststrákur	klárasti strákur	missing-letter	9-1	texti100-2006.xml	orthography	typo
27-9	kláraststrákur	klárasti strákur	merged-words	9-1	texti100-2006.xml	orthography	spacing
27-9	kláraststrákur	klárasti strákur	nonword	9-1	texti100-2006.xml	orthography	nonword
27-10	fan	fann	n4nn	10-1	texti100-2006.xml	orthography	spelling
27-10	fan	fann	nonword	10-1	texti100-2006.xml	orthography	nonword
27-11	hann vill	vildi	extra-sub	11-1	texti100-2006.xml	grammar	syntax
27-11	hann vill	vildi	pres4past	11-2	texti100-2006.xml	grammar	tense
27-12	hjálpi	hjálpaði	dep	11-2	texti100-2006.xml	other	miscellaneous
27-13	NA	,	missing-comma	NA	texti100-2006.xml	orthography	punctuation
27-14	ég	! Ég	missing-ex	NA	texti100-2006.xml	orthography	punctuation
27-15	þetta	,	extra-word	15-1	texti100-2006.xml	vocabulary	insertion
27-15	þetta	,	missing-comma	15-2	texti100-2006.xml	orthography	punctuation
27-16	verða	vera	aux	NA	texti100-2006.xml	vocabulary	aux
27-17	jakkafata mennirnir	jakkafatamennirnir	split-compound	NA	texti100-2006.xml	orthography	spacing
27-18	NA	hans	missing-word	NA	texti100-2006.xml	vocabulary	omission
27-19	þetta	. Þetta	missing-period	NA	texti100-2006.xml	orthography	punctuation
28-1	bý	. Bý	missing-period	NA	texti002-2010.xml	orthography	punctuation
28-2	já	Já ,	lower4upper-initial	2-1	texti002-2010.xml	orthography	capitalization
28-2	já	Já ,	missing-comma	2-2	texti002-2010.xml	orthography	punctuation
28-3	, árið1555 var mamman	. Var mamma	comma4period	3-1	texti002-2010.xml	orthography	punctuation
28-3	, árið1555 var mamman	. Var mamma	syntax-other	3-2	texti002-2010.xml	grammar	syntax
28-3	, árið1555 var mamman	. Var mamma	def4ind	3-3	texti002-2010.xml	grammar	definitiveness
28-4	NA	árið1555	dep	3-2	texti002-2010.xml	other	miscellaneous
28-5	já	Já ,	lower4upper-initial	5-1	texti002-2010.xml	orthography	capitalization
28-5	já	Já ,	missing-comma	5-2	texti002-2010.xml	orthography	punctuation
28-6	. Það var strákur	, að strák	period4comma	6-1	texti002-2010.xml	orthography	punctuation
28-6	. Það var strákur	, að strák	wording	6-2	texti002-2010.xml	style	wording
28-6b	þá	NA	extra-word	6b-1	texti002-2010.xml	vocabulary	insertion
28-6b	þá	NA	style	6b-2	texti002-2010.xml	style	style
28-7	þá	. Þá	missing-period	NA	texti002-2010.xml	orthography	punctuation
28-8	, árið	. Árið	comma4period	NA	texti002-2010.xml	orthography	punctuation
28-9	NA	,	missing-comma	NA	texti002-2010.xml	orthography	punctuation
28-10	Axlar Bjarnar	Axlar-Bjarnar	missing-hyphen	NA	texti002-2010.xml	orthography	spacing
28-11	Axlar Björn	Axlar-Björn	missing-hyphen	NA	texti002-2010.xml	orthography	spacing
28-12	NA	fólk með exi	wording	12-1	texti002-2010.xml	style	wording
28-13	Með exi	NA	dep	12-1	texti002-2010.xml	other	miscellaneous
28-14	var að hjálpa	hjálpaði	cont4simple	NA	texti002-2010.xml	grammar	aspect
28-15	NA	og	missing-conjunction	NA	texti002-2010.xml	orthography	punctuation
28-16	honum	fórnarlömbunum	pro4noun	NA	texti002-2010.xml	coherence	pro
28-18	til gamans ég fanst oft	því mér fannst	extra-words	18-1	texti002-2010.xml	vocabulary	insertion
28-18	til gamans ég fanst oft	því mér fannst	missing-word	18-2	texti002-2010.xml	vocabulary	omission
28-18	til gamans ég fanst oft	því mér fannst	pro-inflection	18-3	texti002-2010.xml	grammar	inflection
28-18	til gamans ég fanst oft	því mér fannst	n4nn	18-4	texti002-2010.xml	orthography	spelling
28-18	til gamans ég fanst oft	því mér fannst	nonword	18-4	texti002-2010.xml	orthography	nonword
28-18	til gamans ég fanst oft	því mér fannst	extra-word	18-5	texti002-2010.xml	vocabulary	insertion
28-19	Axlar Björn	Axlar-Björn	missing-hyphen	NA	texti002-2010.xml	orthography	spacing
28-20	þá	. Skemmtilegast	missing-period	20-1	texti002-2010.xml	orthography	punctuation
28-20	þá	. Skemmtilegast	wording	20-2	texti002-2010.xml	style	wording
28-21	oft gaman	NA	dep	20-2	texti002-2010.xml	other	miscellaneous
28-22	NA	dauðakippina ;	dep	20-2	texti002-2010.xml	other	miscellaneous
28-22	NA	dauðakippina ;	missing-semicolon	22-1	texti002-2010.xml	orthography	punctuation
28-23	NA	,	missing-comma	NA	texti002-2010.xml	orthography	punctuation
28-24	NA	bara	missing-word	NA	texti002-2010.xml	vocabulary	omission
28-25	skemmtilegast að horfa á dauða kippina	NA	dep	20-2	texti002-2010.xml	other	miscellaneous
28-26	var Axlar Björn	NA	extra-word	26-1	texti002-2010.xml	vocabulary	insertion
28-26	var Axlar Björn	NA	missing-hyphen	26-2	texti002-2010.xml	orthography	spacing
28-26	var Axlar Björn	NA	wording	26-2	texti002-2010.xml	style	wording
28-27	hann	Axlar-Björn	extra-word	27-1	texti002-2010.xml	vocabulary	insertion
28-27	hann	Axlar-Björn	dep	26-2	texti002-2010.xml	other	miscellaneous
28-28	og	,	conjunction4comma	NA	texti002-2010.xml	orthography	punctuation
28-29	þá hann	NA	extra-word	29-1	texti002-2010.xml	vocabulary	insertion
28-29	þá hann	NA	extra-sub	29-2	texti002-2010.xml	grammar	syntax
28-30	. Og	og	extra-period	30-1	texti002-2010.xml	orthography	punctuation
28-30	. Og	og	period-plus-conjunction	30-1	texti002-2010.xml	orthography	punctuation
28-32	Og síðan var	Einn dag	period-plus-conjunction	32-1	texti002-2010.xml	orthography	punctuation
28-32	Og síðan var	Einn dag	extra-conjunction	32-1	texti002-2010.xml	orthography	punctuation
28-32	Og síðan var	Einn dag	wording	32-2	texti002-2010.xml	style	wording
28-32	Og síðan var	Einn dag	extra-word	32-3	texti002-2010.xml	vocabulary	insertion
28-33	og þegar	. Þegar	conjunction4period	NA	texti002-2010.xml	orthography	punctuation
28-34	búinn þá	búin	nn4n	34-1	texti002-2010.xml	orthography	spelling
28-34	búinn þá	búin	agreement-pred	34-1	texti002-2010.xml	grammar	agreement
28-34	búinn þá	búin	extra-word	34-2	texti002-2010.xml	vocabulary	insertion
28-34	búinn þá	búin	style	34-2	texti002-2010.xml	style	style
28-35	var síðan	það kvöld	extra-word	35-1	texti002-2010.xml	vocabulary	insertion
28-35	var síðan	það kvöld	wording	35-1	texti002-2010.xml	style	wording
28-37	NA	,	missing-comma	NA	texti002-2010.xml	orthography	punctuation
28-38	strákur	strák	nominal-inflection	38-1	texti002-2010.xml	grammar	inflection
28-38	strákur	strák	case-prep	38-1	texti002-2010.xml	grammar	case
28-39	ein stelpa strákurinn var eldri um	eina yngri stelpu . Um	nominal-inflection	39-1	texti002-2010.xml	grammar	inflection
28-39	ein stelpa strákurinn var eldri um	eina yngri stelpu . Um	case-prep	39-1	texti002-2010.xml	grammar	case
28-39	ein stelpa strákurinn var eldri um	eina yngri stelpu . Um	wording	39-2	texti002-2010.xml	style	wording
28-39	ein stelpa strákurinn var eldri um	eina yngri stelpu . Um	missing-period	39-3	texti002-2010.xml	orthography	punctuation
28-40	var	raulaði	cont4simple	40-1	texti002-2010.xml	grammar	aspect
28-41	að raula	NA	dep	40-1	texti002-2010.xml	other	miscellaneous
28-42	. Síðan var Axlar Björn að drepa gömlu konuna og	, síðan drap Axlar-Björn hana	period4comma	42-1	texti002-2010.xml	orthography	punctuation
28-42	. Síðan var Axlar Björn að drepa gömlu konuna og	, síðan drap Axlar-Björn hana	cont4simple	42-2	texti002-2010.xml	grammar	aspect
28-42	. Síðan var Axlar Björn að drepa gömlu konuna og	, síðan drap Axlar-Björn hana	missing-hyphen	42-3	texti002-2010.xml	orthography	spacing
28-42	. Síðan var Axlar Björn að drepa gömlu konuna og	, síðan drap Axlar-Björn hana	noun4pro	42-4	texti002-2010.xml	coherence	pro
28-42	. Síðan var Axlar Björn að drepa gömlu konuna og	, síðan drap Axlar-Björn hana	extra-conjunction	42-5	texti002-2010.xml	orthography	punctuation
28-43	drap	NA	extra-word	NA	texti002-2010.xml	vocabulary	insertion
28-44	og litla	Litla	period-plus-conjunction	44-1	texti002-2010.xml	orthography	punctuation
28-44	og litla	Litla	extra-conjunction	44-1	texti002-2010.xml	orthography	punctuation
28-45	bróðirinn þá sá hún	bróður sinn og	nominal-inflection	45-1	texti002-2010.xml	grammar	inflection
28-45	bróðirinn þá sá hún	bróður sinn og	case-verb	45-1	texti002-2010.xml	grammar	case
28-45	bróðirinn þá sá hún	bróður sinn og	def4ind	45-1	texti002-2010.xml	grammar	definitiveness
28-45	bróðirinn þá sá hún	bróður sinn og	missing-conjunction	45-2	texti002-2010.xml	orthography	punctuation
28-45	bróðirinn þá sá hún	bróður sinn og	wording	45-3	texti002-2010.xml	style	wording
28-45	bróðirinn þá sá hún	bróður sinn og	extra-word	45-4	texti002-2010.xml	vocabulary	insertion
28-45	bróðirinn þá sá hún	bróður sinn og	extra-sub	45-5	texti002-2010.xml	grammar	syntax
28-46	NA	síðan	dep	45-3	texti002-2010.xml	other	miscellaneous
28-47	NA	að	missing-word	NA	texti002-2010.xml	vocabulary	omission
28-48	Axlar Björn	Axlar-Björn	missing-hyphen	NA	texti002-2010.xml	orthography	spacing
28-49	þá að hún að var að	hana þá	wording	49-1	texti002-2010.xml	style	wording
28-49	þá að hún að var að	hana þá	cont4simple	49-1	texti002-2010.xml	grammar	aspect
28-50	þá	og	extra-word	50-1	texti002-2010.xml	vocabulary	insertion
28-50	þá	og	missing-conjunction	50-2	texti002-2010.xml	orthography	punctuation
28-51	Axlar Björn	því	extra-sub	51-1	texti002-2010.xml	grammar	syntax
28-51	Axlar Björn	því	missing-word	51-2	texti002-2010.xml	vocabulary	omission
28-52	NA	út	missing-word	NA	texti002-2010.xml	vocabulary	omission
28-53	klakann og axlar Björn	klaka sem Axlar-Björn	def4ind	53-1	texti002-2010.xml	grammar	definitiveness
28-53	klakann og axlar Björn	klaka sem Axlar-Björn	conjunction	53-2	texti002-2010.xml	grammar	conjunction
28-53	klakann og axlar Björn	klaka sem Axlar-Björn	lower4upper-proper	53-3	texti002-2010.xml	orthography	capitalization
28-53	klakann og axlar Björn	klaka sem Axlar-Björn	missing-hyphen	53-3	texti002-2010.xml	orthography	spacing
28-54	klakann	NA	dep	53-2	texti002-2010.xml	other	miscellaneous
28-55	daginn	. Daginn	missing-period	NA	texti002-2010.xml	orthography	punctuation
28-56	NA	og	missing-conjunction	NA	texti002-2010.xml	orthography	punctuation
28-57	hann	NA	extra-word	NA	texti002-2010.xml	vocabulary	insertion
28-58	var sólar litlar	væru sólarlitlir	ind4sub-verb	58-1	texti002-2010.xml	grammar	mood
28-58	var sólar litlar	væru sólarlitlir	split-compound	58-2	texti002-2010.xml	orthography	spacing
28-58	var sólar litlar	væru sólarlitlir	agreement-concord	58-2	texti002-2010.xml	grammar	agreement
28-59	þá	. Þá	missing-period	NA	texti002-2010.xml	orthography	punctuation
28-60	NA	aðvífandi	missing-word	NA	texti002-2010.xml	vocabulary	omission
28-61	ert	: „ Ert	missing-colon	61-1	texti002-2010.xml	orthography	punctuation
28-61	ert	: „ Ert	missing-quots	61-2	texti002-2010.xml	orthography	punctuation
28-61	ert	: „ Ert	lower4upper-initial	61-2	texti002-2010.xml	orthography	capitalization
28-62	skyrtunni vinnu mans	skyrtu vinnumanns	def4ind	62-1	texti002-2010.xml	grammar	definitiveness
28-62	skyrtunni vinnu mans	skyrtu vinnumanns	split-compound	62-2	texti002-2010.xml	orthography	spacing
28-62	skyrtunni vinnu mans	skyrtu vinnumanns	n4nn	62-2	texti002-2010.xml	orthography	spelling
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	missing-qm	63-1	texti002-2010.xml	orthography	punctuation
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	dep	61-2	texti002-2010.xml	other	miscellaneous
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	new-passive	63-2	texti002-2010.xml	grammar	syntax
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	missing-letter	63-3	texti002-2010.xml	orthography	typo
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	pronun-writing	63-3	texti002-2010.xml	orthography	spelling
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	nonword	63-3	texti002-2010.xml	orthography	nonword
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	missing-hyphen	63-4	texti002-2010.xml	orthography	spacing
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	missing-conjunction	63-5	texti002-2010.xml	orthography	punctuation
28-63	þá var hantekið Axlar Björn hann var dauður	? “ Axlar-Björn var þá handtekinn og tekinn af lífi	wording	63-6	texti002-2010.xml	style	wording
29-1	sumarinu	sumrinu	extra-letter	1-1	texti096-2006.xml	orthography	typo
29-1	sumarinu	sumrinu	nonword	1-1	texti096-2006.xml	orthography	nonword
29-2	ég	Ég	lower4upper-initial	NA	texti096-2006.xml	orthography	capitalization
29-3	sumarið mitt	það	noun4pro	NA	texti096-2006.xml	coherence	pro
29-4	staðin	staðinn	n4nn	NA	texti096-2006.xml	orthography	spelling
29-5	frá	af	wrong-prep	NA	texti096-2006.xml	grammar	prep
29-6	, ég fór líka	og	comma4conjunction	6-1	texti096-2006.xml	orthography	punctuation
29-6	, ég fór líka	og	extra-words	6-2	texti096-2006.xml	vocabulary	insertion
29-7	tölfuleiki	tölvuleiki	letter-rep	7-1	texti096-2006.xml	orthography	typo
29-7	tölfuleiki	tölvuleiki	hypercorr	7-1	texti096-2006.xml	orthography	punctuation
29-7	tölfuleiki	tölvuleiki	nonword	7-1	texti096-2006.xml	orthography	nonword
29-8	eiddi	eyddi	i4y	8-1	texti096-2006.xml	orthography	spelling
29-8	eiddi	eyddi	nonword	8-1	texti096-2006.xml	orthography	nonword
29-9	skemmtileg	skemmtilegt	agreement-pred	NA	texti096-2006.xml	grammar	agreement
30-2	mentaskóla	menntaskóla	n4nn	2-1	texti097-2006.xml	orthography	spelling
30-2	mentaskóla	menntaskóla	nonword	2-1	texti097-2006.xml	orthography	nonword
30-3	út	NA	extra-word	NA	texti097-2006.xml	vocabulary	insertion
30-4	fara	spila	wording	NA	texti097-2006.xml	style	wording
30-5	collage d 1	fyrstu	fw4ice	5-1	texti097-2006.xml	style	style
30-5	collage d 1	fyrstu	number4word	5-2	texti097-2006.xml	style	numbers
30-6	d 2	annarri háskóladeild	number4word	NA	texti097-2006.xml	style	numbers
30-6	d 2	annarri háskóladeild	dep	5-1	texti097-2006.xml	other	miscellaneous
30-7	að spila	í atvinnumennsku	wording	NA	texti097-2006.xml	style	wording
30-9	weed farm	grasbýli	fw4ice	NA	texti097-2006.xml	style	style
30-10	peters weed farm	grasbýli Peters	lower4upper-proper	10-1	texti097-2006.xml	orthography	capitalization
30-10	peters weed farm	grasbýli Peters	fw4ice	10-2	texti097-2006.xml	style	style
30-11	Dj	plötusnúður	fw4ice	NA	texti097-2006.xml	style	style
30-12	produca lög	stjórna upptöku á lögum	fw4ice	NA	texti097-2006.xml	style	style
30-13	studio	stúdíó	fw4ice	NA	texti097-2006.xml	style	style
30-14	produca lög	stjórna upptöku laga	fw4ice	NA	texti097-2006.xml	style	style
30-15	verð	mun	have	15-1	texti097-2006.xml	vocabulary	aux
30-16	með mantion	eiga glæsivillu	dep	15-1	texti097-2006.xml	other	miscellaneous
30-16	með mantion	eiga glæsivillu	fw4ice	NA	texti097-2006.xml	style	style
30-17	miami florida	Miami á Flórída	lower4upper-proper	17-1	texti097-2006.xml	orthography	capitalization
30-17	miami florida	Miami á Flórída	missing-prep	17-2	texti097-2006.xml	grammar	prep
30-17	miami florida	Miami á Flórída	lower4upper-proper	17-3	texti097-2006.xml	orthography	capitalization
30-17	miami florida	Miami á Flórída	fw4ice	17-3	texti097-2006.xml	style	style
31-1	Èg	Ég	wrong-accent	1-1	texti073-2006.xml	orthography	typo
31-1	Èg	Ég	nonword	1-1	texti073-2006.xml	orthography	nonword
31-2	NA	um	missing-word	NA	texti073-2006.xml	vocabulary	omission
31-3	NA	,	missing-comma	NA	texti073-2006.xml	orthography	punctuation
31-4	svíðþjóð	Svíþjóð	lower4upper-proper	4-1	texti073-2006.xml	orthography	capitalization
31-4	svíðþjóð	Svíþjóð	extra-letter	4-1	texti073-2006.xml	orthography	typo
31-4	svíðþjóð	Svíþjóð	nonword	4-1	texti073-2006.xml	orthography	nonword
31-5	er tengt	tengist	wording	NA	texti073-2006.xml	style	wording
31-6	sýna	halda	wording	NA	texti073-2006.xml	style	wording
31-7	svíþjóð	Svíþjóð	lower4upper-proper	NA	texti073-2006.xml	orthography	capitalization
31-8	eitthvað	eitthvert	agreement-concord	NA	texti073-2006.xml	grammar	agreement
31-9	þau	það	agreement-pro	NA	texti073-2006.xml	grammar	agreement
31-9b	mundi	myndi	agreement-pro	NA	texti073-2006.xml	grammar	agreement
31-10	svíðþjóð	Svíþjóð , ég	lower4upper-proper	10-1	texti073-2006.xml	orthography	capitalization
31-10	svíðþjóð	Svíþjóð , ég	extra-letter	10-1	texti073-2006.xml	orthography	typo
31-10	svíðþjóð	Svíþjóð , ég	nonword	10-1	texti073-2006.xml	orthography	nonword
31-10	svíðþjóð	Svíþjóð , ég	missing-comma	10-2	texti073-2006.xml	orthography	punctuation
31-10	svíðþjóð	Svíþjóð , ég	missing-sub	10-3	texti073-2006.xml	grammar	syntax
31-11	örruglega kinnast	örugglega kynnast	extra-letter	11-1	texti073-2006.xml	orthography	typo
31-11	örruglega kinnast	örugglega kynnast	missing-letter	11-1	texti073-2006.xml	orthography	typo
31-11	örruglega kinnast	örugglega kynnast	nonword	11-1	texti073-2006.xml	orthography	nonword
31-11	örruglega kinnast	örugglega kynnast	i4y	11-2	texti073-2006.xml	orthography	spelling
31-12	vinnuni	vinnunni	n4nn	12-1	texti073-2006.xml	orthography	spelling
31-12	vinnuni	vinnunni	nonword	12-1	texti073-2006.xml	orthography	nonword
31-13	til að búa	sem ég bý	conjunction	NA	texti073-2006.xml	grammar	conjunction
31-14	NA	mér	missing-word	NA	texti073-2006.xml	vocabulary	omission
31-15	minn	minni	agreement-concord	NA	texti073-2006.xml	grammar	agreement
31-16	hvarr	hvar	extra-letter	16-1	texti073-2006.xml	orthography	typo
31-16	hvarr	hvar	nonword	16-1	texti073-2006.xml	orthography	nonword
31-17	værum	verðum	aux	17-1	texti073-2006.xml	vocabulary	aux
31-17	værum	verðum	sub4ind-verb	17-1	texti073-2006.xml	grammar	mood
31-17	værum	verðum	past4pres	17-1	texti073-2006.xml	grammar	tense
31-18	einhverstaðar	einhvers staðar	merged-words	18-1	texti073-2006.xml	orthography	spacing
31-18	einhverstaðar	einhvers staðar	nonword	18-1	texti073-2006.xml	orthography	nonword
31-19	safnapening í	safna pening fyrir	missing-space	19-1	texti073-2006.xml	orthography	spacing
31-19	safnapening í	safna pening fyrir	nonword	19-1	texti073-2006.xml	orthography	nonword
31-19	safnapening í	safna pening fyrir	wrong-prep	19-2	texti073-2006.xml	grammar	prep
31-20	En áður	Áður	extra-conjunction	20-1	texti073-2006.xml	orthography	punctuation
31-20	En áður	Áður	period-plus-conjunction	20-1	texti073-2006.xml	orthography	punctuation
31-21	NA	samt	missing-word	NA	texti073-2006.xml	vocabulary	omission
31-22	mundum	myndum	u4y	NA	texti073-2006.xml	orthography	spelling
31-23	örruglega	öruglega	extra-letter	23-1	texti073-2006.xml	orthography	typo
31-23	örruglega	öruglega	missing-letter	23-1	texti073-2006.xml	orthography	typo
31-23	örruglega	öruglega	nonword	23-1	texti073-2006.xml	orthography	nonword
31-24	en	, samt	conjunction4comma	24-1	texti073-2006.xml	orthography	punctuation
31-24	en	, samt	missing-word	24-2	texti073-2006.xml	vocabulary	omission
31-25	7	sjö	number4word	NA	texti073-2006.xml	style	numbers
32-1	NA	mér	missing-word	NA	texti072-2006.xml	vocabulary	omission
32-2	tvíbura systur	tvíburasystur	split-compound	NA	texti072-2006.xml	orthography	spacing
32-3	allskonar menningar út	alls konar menningu úti	merged-words	3-1	texti072-2006.xml	orthography	spacing
32-3	allskonar menningar út	alls konar menningu úti	nonword	3-1	texti072-2006.xml	orthography	nonword
32-3	allskonar menningar út	alls konar menningu úti	plural4singular	3-2	texti072-2006.xml	vocabulary	semantic
32-3	allskonar menningar út	alls konar menningu úti	dir4loc	3-3	texti072-2006.xml	coherence	reference
32-4	Ég og	Við	merged-words	NA	texti072-2006.xml	orthography	spacing
32-5	munum	verðum	wording	5-1	texti072-2006.xml	style	wording
32-5	munum	verðum	aux	5-1	texti072-2006.xml	vocabulary	aux
32-6	vera	NA	dep	5-1	texti072-2006.xml	other	miscellaneous
32-7	NA	París	wording	7-1	texti072-2006.xml	style	wording
32-8	og vera í París , ég væri	. Ég verð	dep	7-1	texti072-2006.xml	other	miscellaneous
32-8	og vera í París , ég væri	. Ég verð	comma4period	8-1	texti072-2006.xml	orthography	punctuation
32-8	og vera í París , ég væri	. Ég verð	aux	8-2	texti072-2006.xml	vocabulary	aux
32-8	og vera í París , ég væri	. Ég verð	sub4ind	8-2	texti072-2006.xml	grammar	mood
32-8	og vera í París , ég væri	. Ég verð	past4pres	8-2	texti072-2006.xml	grammar	tense
32-9	Eiffelturninn um morgunin	Eiffelturninum á morgnana	nominal-inflection	9-1	texti072-2006.xml	grammar	inflection
32-9	Eiffelturninn um morgunin	Eiffelturninum á morgnana	case-prep	9-1	texti072-2006.xml	grammar	case
